place_id,author_name,rating,text,city
ChIJvSQIgqFZwokRFYQbJdzceSs,S&R,5,"I went to this restaurant to see my best friend who flew in from California. Wanted a special evening to spend time with her and celebrate milestones while enjoying good food and drinks.

We did not have a reservation but were seated promptly after arriving in the main dining room. Michael and Kumar were our server. The entire staff was kind and helpful. My friend and I both got the prix fixed seasonal menu where I opted for the morning glory cocktail and she, the wine pairing.

Food was served at a comfortable and fluid pace. In total, my friend and I tried 10 dishes. The wines paired with the menu was perfect and explanations were thorough.

Food was delicious!

By the end of the evening, we were given apple crumble bread as to go goodies. The bread, even after two days, was still flavorful, moist and delicious.",New York
ChIJvSQIgqFZwokRFYQbJdzceSs,JunQi Zhai,5,"Came here for a birthday dinner and had an amazing experience! Upon entry, the staff were extremely kind and the decor was warm and inviting, decorated to mimic the fall foliage. They had an extensive wine and drinks list, but we opted for cocktails instead. The bar was able to make me a White Negroni that was spot on. The 6-course menu was simple but delicious, and everything was well prepared (a few minor plating issues but easily overlooked). My favorite was the duck; the most tender I’ve had this year and the skin was thin and crispy. We ended the night with the birthday dessert and espressos. Overall great experience, and would certainly come back in a different season to see how the restaurant decor and menu changes. Highly recommend.",New York
ChIJvSQIgqFZwokRFYQbJdzceSs,Brooke Pascarella,4,"We came in for our anniversary celebration and did the seasonal tasting menu + wine pairing. The food is, of course, exceptionally good but not the innovative plates I was expecting at this price point. For almost every course, the wine was poured a bit too early from when the food arrived which felt disjointed. Finally, the decor didn’t suit my taste at all, the fall rustic style felt a bit dated for nyc. Overall great dining experience at a Michelin star, New York establishment. Good to check off your list at the very least.",New York
ChIJvSQIgqFZwokRFYQbJdzceSs,Greg Welsh,4,"Overall very nice and memorable experience in the dining room. Arrived a little early and table wasn't ready until 15 minutes past reservation time. The tavern was very crowded, so that wasn't a great start. Graciously offered complimentary glass of sparkling wine when we were seated. We added the wine pairing to dinner. Have to say the first couple of courses were very slow to come out. First dish arrived 45 minutes after being seated. Then it was like 30 minutes for next couple of courses. But our glasses were refreshed when the food arrived. All of the dishes were delicious and unique. The squid ink pasta was our favorite. My partner and I should have ordered differently from each other to try more things. Specifically I wish I tried the Norwich Meadows Squash. I preferred the lamb over the duck, but my partner was the opposite. I don't think you can go wrong no matter what you order! Our server and sommelier were delightful. I fault no one for the slow speed. I think they were just exceptionally busy for the holidays and the tavern being packed.",New York
ChIJvSQIgqFZwokRFYQbJdzceSs,Eduardo Gonzalez,5,Went for Thanksgiving dinner as is one of the best rated american cuisine restaurants currently. The menu was very well curated for Thanksgiving and I was completely surprised on the taste the manage to accomplish for the Turkey dish they were offering. The rest of the dishes were very good but no surprises there for a restaurant of this quality. A bit overpriced in my opinion,New York
ChIJMW-gxPtYwokRzDlnsRgq9rA,Rodman Rodriguez,5,A truly exceptional meal—perhaps the first true two-star Michelin experience we’ve had in Manhattan (surpassing other 3* in NYC earned through celebrity and not substance). All around an absolute pleasure for all the senses.There were several twists that worked very well like bringing the bread after the third course. Another was the diversity of the servers presenting the dishes while still maintaining our head server’s role prominently—it felt very appropriate in a city like NYC. This paired well with the flawless composition and execution of the dishes and the serene yet sensory rich atmosphere. Two stars fully earned!!!,New York
ChIJMW-gxPtYwokRzDlnsRgq9rA,Brian W Piper,5,"Hands down, one of the best dining experiences I've ever had. I waited tables all through college and the service here was next level. They didn't miss a thing.
And the food...just magnificent. We did the chef's tasting menu and the wine pairing and it was expensive, but well worth it.
Not sure that we'll be making a return trip because of the price but it was something that everyone should splurge on at least once.",New York
ChIJMW-gxPtYwokRzDlnsRgq9rA,Sho Yama,4,"I like to enjoy a meal while viewing museums garden.

Meals are perfect if I don't have any allergies.
Gluten-free bread is fried bread and has a lot of oil.
It use avocado as a substitute for shrimp.",New York
ChIJMW-gxPtYwokRzDlnsRgq9rA,Jerron St. Armand,5,"The Modern is a great dining experience and a fantastic way to break up the day when visiting MOMA.  I went for lunch in the dining room and had the 4 course menu.  It included the 4 courses plus the bread.  Each course was delicious in its own way, but the famous eggs on eggs on eggs really stood out.  The extra brioche is a nice tough too cause you'll certainly want more.

They have an extensive wine and cocktail list, and I was very happy with the affordability of the whole experience given how they have 2 stars.  Service was attentive and never felt rushed.  I was dining solo, so the extra little chit chat with me from the staff is always welcome (but never expected).

My only disappointment was when leaving, I didn't want to subtract a star from this since it was outside the dining experience, but I wasn't let back into the museum.  I called a few days earlier and asked if I could reenter from the restaurant and they said yes as long as you show your ticket. I had my ticket out but was told I need to go outside and reenter through the main entrance.  Well unfortunately it was pouring and the line was quite long.  Just be aware that if you're dining you probably won't be let back into the museum.",New York
ChIJMW-gxPtYwokRzDlnsRgq9rA,Tabber B. Benedict,5,"We were treated like royalty and had the wonderful tasting menu.  What a wonderful night! Thank you to the chef, servers,  hosts and all others who made it a night to remember.",New York
